Category	Question	Answer	Lower Case	Upper Case	Difficulty			Works Cited																
Events	Voting on and signing for independence was incredibly risky as it would have been considered an act of what against the British Crown?	Treason	treason	TREASON	1			https://www.rd.com/list/declaration-of-independence-quiz/																
Events	During which war did the United States hide the original Declaration of Independence for protection?	World War II	world war ii	WORLD WAR II	2			https://www.nationalgeographic.org/article/signing-declaration-independence/5th-grade/																
Events	What date in 1776 was the Declaration of Independence signed on?	August 2	44045	44045	2			https://www.sporcle.com/games/biggs364/celebrate-the-4th-of-july																
Events	What is the first word of the text of the Declaration of Independence?	When	when	WHEN	2			https://www.sporcle.com/games/scole9179/declaration-of-independence-facts																
Events	Which American legislative body created the Declaration of Independence?	Second Continental Congress	second continental congress	SECOND CONTINENTAL CONGRESS	2			https://www.sporcle.com/games/spotoneout/declaration-of-independence																
Events	"How many copies were printed on July 5, 1776?"	200	200	200	3																			
Events	On which date in 1776 did New York finally agree to vote on independence?	July 9	44021	44021	3																			
Events	What 2015 3-night miniseries on the History channel depicted events leading to the signing of the Declaration of Independence?	Sons of Liberty	sons of liberty	SONS OF LIBERTY	3																			
Independence Day	When was the first official Independence Day celebrated? (Please enter in MM/DD/YYYY)	07/04/1777	07/04/1777	07/04/1777	1																			
Independence Day	What was the first state to make Independence Day a state holiday?	Massachusetts	massachusetts	MASSACHUSETTS	2																			
Independence Day	The tradition of fireworks actually comes from the first Independence Day celebration in what city?	Philadelphia	philadelphia	PHILADELPHIA	2																			
Independence Day	What day in 1776 did the Continental Congress officially declare freedom from Britain? (HINT: It is not July 4)	July 2	44014	44014	3																			
Independence Day	Who is the only US president to have been born on Independence Day?	Calvin Coolidge	calvin coolidge	CALVIN COOLIDGE	3																			
Independence Day	"On the Centennial celebration of July 4, 1876, how many states were there in the Union?"	37	37	37	3																			
People	Who was the first signer of the Declaration of Independence?	John Hancock	john hancock	JOHN HANCOCK	1																			
People	Who physically wrote the Declaration of Independence?	Thomas Jefferson	thomas jefferson	THOMAS JEFFERSON	1																			
People	Who was the oldest person to sign the Declaration of Independence?	Benjamin Franklin	benjamin franklin	BENJAMIN FRANKLIN	2																			
People	Who was the last signer of the Declaration of Independence?	Thomas McKean	thomas mckean	THOMAS MCKEAN	3																			
People	What was the name of the printer who Congress ordered the original copies from?	John Dunlap	john dunlap	JOHN DUNLAP	3																			
People	Which New York delegate helped author the Declaration of Independence but was unable to sign?	Robert Livingston	robert livingston	ROBERT LIVINGSTON	3																			
People	"Which representative made the motion: 'That these United Colonies are, and of right out to be, free and independent States, that they are absolved from all allegiance to the British Crown'?"	Richard Henry Lee	richard henry lee	RICHARD HENRY LEE	3																			
People	"Which New Jersey signer, who now has a university named after them in the state, was captured and imprisoned by the British very close to his home in Princeton?"	Richard Stockton	richard stockton	RICHARD STOCKTON	3																			
Places	What city was the Declaration of Independence signed?	Philadelphia	philadelphia	PHILADELPHIA	1																			
Places	"Declaration of Independence signers John Adams, Samuel Adams, John Hancock, Robert Treat Paine, and Elbridge Gerry represented what colony?"	Massachusetts	massachusetts	MASSACHUSETTS	1																			
Places	Which European power did the Thirteen Colonies express a desire to break away from?	Great Britain	great britain	GREAT BRITAIN	1																			
Places	This colony had the smallest number of signers - 2.	Rhode Island	rhode island	RHODE ISLAND	1																			
Places	The primary author of the Declaration of Independence was from which colony?	Virginia	virginia	VIRGINIA	1																			
Places	"Although today it is called the first state, initially the 3 signers from this colony had to convince the people to support independence."	Delaware	delaware	DELAWARE	1																			
Places	Who became the first colony to openly declare independence with the Halifax Resolves in April of 1776?	North Carolina	north carolina	NORTH CAROLINA	2																			
Places	This colony had the largest number of signers - 9.	Pennsylvania	pennsylvania	PENNSYLVANIA	2																			
Places	"In what colony did riots break out when George Washington read the Declaration in public on July 9, 1776?"	New York	new york	NEW YORK	3																			
Places	"Roger Sherman, who also later signed the Articles of Confederation and the Constitution, was from which colony?"	Connecticut	connecticut	CONNECTICUT	3																			
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
